author_display,title_display
United States. Congress. House. Committee on Banking and Currency. author.,"Interim increase in FNMA borrowing authority : hearing before the Committee on Banking and Currency, House of Representatives, Eighty-fifth Congress, first session, on H.J. Res. 209 and H.J. Res. 210. February 7, 1957"
United States. Congress. House. Committee on Banking and Currency.,Substantive changes in laws incorporated in financial institutions act : index of Act
United States. Congress. House. Committee on Interstate and Foreign Commerce.,"Hours of service law : hearings before the Committee on Interstate and Foreign Commerce, House of Representatives, Sixty-second Congress, second session. H.R. 25040, June 10, 1912, to July 12, 1912"
United States. Congress. House. Committee on Interstate and Foreign Commerce.,"Hudson River Bridge bills : hearings before a subcommittee of the Committee on Interstate and Foreign Commerce of the House of Representatives, on bills S. 4978 and S. 5659"
United States. Congress. House. Committee on Interstate and Foreign Commerce. Bridge Subcommittee.,"North River Bridge Co. Bridge across Hudson River : hearings before the Bridge Subcommittee of the Committee on Interstate and Foreign Commerce, Seventy-third Congress, second session, on H.R. 9201, a bill to provide for the creation of a commission to examine and to report the clear height above water of the bridge authorized to be constructed over the Hudson River from Fifty-seventh Street, New York, to New Jersey, May 5 and 11, 1934"
United States. Congress. House. Committee on Interstate and Foreign Commerce.,"Free bridge at Hudson, Wis. : hearings before the Bridge Subcommittee of the Committee on Interstate and Foreign Commerce, House of Representatives, Seventy-seventh Congress, first session, on H.R. 4314, a bill authorizing the states of Minnesota and Wisconsin, jointly or separately, to acquire bridges now existing ... May 7, 1941"
United States. Congress. House. Committee on Interstate and Foreign Commerce.,"Extend operation of Inland Waterways Corporation to Carabelle, Fla. : hearings before a subcommittee of the Committee on Interstate and Foreign Commerce, House of Representatives, Seventy-sixth Congress, first session, on H.R. 5472, a bill to amend the Inland Waterways Corporation Act ... July 20, 1939"
United States. Congress. House. Committee on Interstate and Foreign Commerce.,"To amend paragraph (1) of section 4 of the Interstate Commerce Act, as amended : hearing before the Committee on Interstate and Foreign Commerce, House of Representatives, Seventy-fifth Congress, first session, on H.R. 1668 (long and short haul section), January 28, 29, February 2-17, 1937"
United States. Congress. House. Committee on Interstate and Foreign Commerce.,"Interstate Commerce Act amendments : hearings before the Committee on Interstate and Foreign Commerce, House of Representatives, Eightieth Congress, second session, on the H.R. 5623, a bill to amend the Interstate Commerce Act as amended, March 9 and 22, 1948"
United States. Congress. House. Committee on Interstate and Foreign Commerce.,"Interstate Trade Commission : hearings before the Committee on Interstate and Foreign Commerce, House of Representatives, Sixty-third Congress, second session, January 30 to February 16, 1914"
United States. Congress. House. Committee on Interstate and Foreign Commerce.,"Bills affecting interstate commerce : hearings before the Committee on Interstate and Foreign Commerce, House of Representatives, 64th Congress, 1st session, on H.R. 308, 565, 722, and S.J. Res. 60, February 1-29, 1916"
United States. Congress. House. Committee on Interstate and Foreign Commerce.,"Bills affecting interstate commerce : hearings before the Committee on Interstate and Foreign Commerce, House of Representatives, H.R. 9047, 9132, 9216, 10485, 11243, safety on railroads for passengers and employees, and hours of service and increase of pay of inspectors, April 18 to May 5, 1916"
Allied and Associated Powers (1914-1920),"International Air Navigation Convention : text of articles and annexes together with amendments thereto and regulations issued thereunder up to June, 1924"
United States. Congress. House. Committee on Interstate and Foreign Commerce.,"Bridges at Keokuk, Iowa : hearings before the Committee on Interstate and Foreign Commerce of the House of Representatives, on the bills H.R. 26559 and H.R. 26672, Sixty-second Congress, third session. January 17, 1913"
United States. Congress. House. Committee on Interstate and Foreign Commerce.,"Eliminating land-grant reductions in compensation for transportation : hearings before the Committee on Interstate and Foreign Commerce, House of Representatives, Seventy-fifth Congress, third session, May 31, June 1 and 2, 1938"
United States. Congress. House. Committee on Banking and Currency.,"National Housing Act amendment. Hearing before the Subcommittee on Housing of the Committee on Banking and Currency, House of Representatives Eighty-seventh Congress, second session on H.R. 11262, a bill to amend section 220(h) of the National Housing Act to permit the insurance under that section or section 203(k) of a loan made to a homeowner for the purpose of paying the cost of public improvements for which (by assessment or otherwise) he is legally liable. August 30, 1962"
United States. Congress. House. Committee on Banking and Currency. Subcommittee on Housing.,"Housing Act of 1957 : hearings before the Subcommittee on Housing of the Committee on Banking and Currency, House of Representatives, Eighty-fifth Congress, first session March 4, 5, 6, 7, 8, 11, 12, 13, 14, and 15"
United States. Congress. House. Committee on Banking and Currency. Subcommittee on Housing.,"Housing act of 1958 : hearings before the Subcommittee on Housing of the Committee on Banking and Currency, House of Representatives, Eighty-fifth Congress, second session"
United States. Congress. House. Committee on Interstate and Foreign Commerce.,"Repeal of land-grant rates on transportation of government traffic : hearings before the Committee on Interstate and Foreign Commerce, House of Representatives, Seventy-seventh Congress, second session, on H.R. 6156, a bill to amend section 321, title III, Part II, Transportation Act of 1940, with respect to the movement of government traffic, February 19 and 20, 1942"
United States. Congress. House. Committee on Interstate and Foreign Commerce.,"Repeal of land-grant rates on transportation of government traffic : hearings before a subcommittee of the Committee on Interstate and Foreign Commerce, House of Representatives, Seventy-eighth Congress, second session, on H.R. 4184, a bill to amend section 321, Title III, part II, Transportation Act of 1940, with respect to the movement of government traffic, March 16, 17, 18, 21, 22, and 23, 1944"
